id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
18311952,"Airtel Centre Bharti Airtel Ltd, 5th Floor, Plot 16, Phase 4, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4912531159,77.079917863,,1,"Udyog Vihar, Gurgaon",1
18332976,"Plot 424, Satguru Farm, Opposite Maruti Gate 1, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4969691,77.0627161,,1,"Udyog Vihar, Gurgaon",1
18350144,"Shop 7, Sector 18, HUDA Complex, Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4905933,77.0670773,,1,"Udyog Vihar, Gurgaon",1
18382370,"Plot 477, Sector 18, Sarhaul, Phase IV, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4906463623,77.0701675415,,1,"Udyog Vihar, Gurgaon",1
18463955,"Location Varies, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4999667,77.081314,,1,"Udyog Vihar, Gurgaon",1
18350142,"Food Court, Infocity, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.5130313,77.086215,,1,"Udyog Vihar, Gurgaon",1
18337883,"Plot 241, Smile Group, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.509468,77.085902,,1,"Udyog Vihar, Gurgaon",1
18306504,"243, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.5128925,77.08617,,1,"Udyog Vihar, Gurgaon",1
18463967,Near Hanuman Mandir,Udyog Vihar,Gurgaon,28.5115083173,77.0757631212,,1,"Udyog Vihar, Gurgaon",1
18350138,"Rao Chattar Singh Market, Opposite Siemens Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4907223,77.0673441,,1,"Udyog Vihar, Gurgaon",1
18427204,"Near DCB ATM, Vimal Yadav Wali Galli, Sarhaul Village, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4872533,77.0665649,,1,"Udyog Vihar, Gurgaon",1
18391133,"Shop 5, HUDA Market, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,Gurgaon,28.4905322,77.0671046,,1,"Udyog Vihar, Gurgaon",1
